treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,HOK,SEK,SEK,1,4,5,2G,30,0.678,2.316958565,1.936351986,590
AB,HOK,SEK,SEK,1,4,5,2H,30,1.69,5.775309697,5.394703118,590
P,HOK,HOK,SEK,1,3,5,3A,30,1.072,3.663391713,3.282785135,590
AB,HOK,HOK,SEK,1,3,5,3B,30,1.201,4.104228962,3.723622384,590
P,SEK,HOK,SEK,1,3,5,3C,30,1.363,4.657838531,4.277231952,590
AB,SEK,HOK,SEK,1,3,5,3D,30,0.419,1.431866724,1.051260145,590
P,SEK,SEK,SEK,1,3,5,3E,30,0.715,2.443400256,2.062793678,590
AB,SEK,SEK,SEK,1,3,5,3F,30,0.869,2.969671081,2.589064502,590
P,HOK,SEK,SEK,1,3,5,3G,30,1.759,6.011106365,5.630499786,590
AB,HOK,SEK,SEK,1,3,5,3H,30,0.339,1.158479282,0.777872704,590
P,HOK,HOK,SEK,1,2,5,4A,30,0.488,1.667663392,1.287056813,590
AB,HOK,HOK,SEK,1,2,5,4B,30,0.549,1.876121316,1.495514737,590
P,SEK,HOK,SEK,1,2,5,4C,30,1.018,3.47885519,3.098248612,590
AB,SEK,HOK,SEK,1,2,5,4D,30,1.21,4.134985049,3.754378471,590
P,SEK,SEK,SEK,1,2,5,4E,30,0.427,1.459205468,1.078598889,590
AB,SEK,SEK,SEK,1,2,5,4F,30,0.653,2.231524989,1.850918411,590
P,HOK,SEK,SEK,1,2,5,4G,30,0.896,3.061939342,2.681332764,590
AB,HOK,SEK,SEK,1,2,5,4H,30,0.574,1.961554891,1.580948313,590
P,HOK,HOK,SEK,1,1,5,5A,30,0.469,1.602733874,1.222127296,590
AB,HOK,HOK,SEK,1,1,5,5B,30,1.164,3.97778727,3.597180692,590
P,SEK,HOK,SEK,1,1,5,5C,30,1.464,5.002990175,4.622383597,590
AB,SEK,HOK,SEK,1,1,5,5D,30,1.807,6.17513883,5.794532251,590
P,SEK,SEK,SEK,1,1,5,5E,30,0.389,1.329346433,0.948739855,590
AB,SEK,SEK,SEK,1,1,5,5F,30,0.494,1.68816745,1.307560871,590
P,HOK,SEK,SEK,1,1,5,5G,30,1.144,3.90944041,3.528833832,590
AB,HOK,SEK,SEK,1,1,5,5H,30,0.656,2.241777018,1.86117044,590
P,HOK,HOK,HOK,1,5,5,6A,30,0.482,1.647159334,1.266552755,590
AB,HOK,HOK,HOK,1,5,5,6B,30,0.17,0.580948313,0.200341734,590
P,SEK,HOK,HOK,1,5,5,6C,30,0.684,2.337462623,1.956856044,590
AB,SEK,HOK,HOK,1,5,5,6D,30,0.447,1.527552328,1.14694575,590
P,SEK,SEK,HOK,1,5,5,6E,30,1.491,5.095258437,4.714651858,590
AB,SEK,SEK,HOK,1,5,5,6F,30,1.356,4.633917129,4.253310551,590
P,HOK,SEK,HOK,1,5,5,6G,30,0.774,2.645023494,2.264416916,590
AB,HOK,SEK,HOK,1,5,5,6H,30,0.493,1.684750107,1.304143528,590
P,HOK,HOK,HOK,1,4,5,7A,30,0.561,1.917129432,1.536522853,590
AB,HOK,HOK,HOK,1,4,5,7B,30,0.307,1.049124306,0.668517728,590
P,SEK,HOK,HOK,1,4,5,7C,30,0.982,3.355830842,2.975224263,590
AB,SEK,HOK,HOK,1,4,5,7D,30,0.359,1.226826143,0.846219564,590
P,SEK,SEK,HOK,1,4,5,7E,30,1.369,4.678342589,4.29773601,590
AB,SEK,SEK,HOK,1,4,5,7F,30,0.312,1.066211021,0.685604443,590
P,HOK,SEK,HOK,1,4,5,7G,30,0.434,1.483126869,1.10252029,590
AB,HOK,SEK,HOK,1,4,5,7H,30,0.524,1.79068774,1.410081162,590
P,HOK,HOK,HOK,1,3,5,8A,30,0.441,1.50704827,1.126441692,590
AB,HOK,HOK,HOK,1,3,5,8B,30,0.392,1.339598462,0.958991884,590
P,SEK,HOK,HOK,1,3,5,8C,30,0.401,1.370354549,0.989747971,590
AB,SEK,HOK,HOK,1,3,5,8D,30,0.415,1.418197352,1.037590773,590
P,SEK,SEK,HOK,1,3,5,8E,30,0.958,3.273814609,2.893208031,590
AB,SEK,SEK,HOK,1,3,5,8F,30,1.298,4.435711235,4.055104656,590
P,HOK,SEK,HOK,1,3,5,8G,30,1.367,4.671507903,4.290901324,590
AB,HOK,SEK,HOK,1,3,5,8H,30,1.6,5.467748825,5.087142247,590
