date,hours,time,temp_c,light_lux
06/30/2023 00:00:00,11:44:32,AM,18.79,7488.00
06/30/2023 00:00:00,12:44:32,PM,19.82,10419.20
06/30/2023 00:00:00,1:44:32,PM,20.50,14817.28
06/30/2023 00:00:00,2:44:32,PM,20.29,7902.72
06/30/2023 00:00:00,3:44:32,PM,18.96,732.16
06/30/2023 00:00:00,4:44:32,PM,19.35,650.72
06/30/2023 00:00:00,5:44:32,PM,19.69,466.72
06/30/2023 00:00:00,6:44:32,PM,19.86,377.92
06/30/2023 00:00:00,7:44:32,PM,19.77,299.36
06/30/2023 00:00:00,8:44:32,PM,19.43,149.68
06/30/2023 00:00:00,9:44:32,PM,19.09,1.66
06/30/2023 00:00:00,10:44:32,PM,18.49,0.00
06/30/2023 00:00:00,11:44:32,PM,18.06,0.00
07/01/2023 00:00:00,12:44:32,AM,17.72,0.00
07/01/2023 00:00:00,1:44:32,AM,17.33,0.00
07/01/2023 00:00:00,2:44:32,AM,17.16,0.00
07/01/2023 00:00:00,3:44:32,AM,16.86,0.00
07/01/2023 00:00:00,4:44:32,AM,16.69,0.00
07/01/2023 00:00:00,5:44:32,AM,16.51,118.68
07/01/2023 00:00:00,6:44:32,AM,16.47,467.20
07/01/2023 00:00:00,7:44:32,AM,16.43,677.12
07/01/2023 00:00:00,8:44:32,AM,16.39,911.04
07/01/2023 00:00:00,9:44:32,AM,16.47,2226.56
07/01/2023 00:00:00,10:44:32,AM,17.46,5093.12
07/01/2023 00:00:00,11:44:32,AM,18.57,7994.88
07/01/2023 00:00:00,12:44:32,PM,19.60,8634.88
07/01/2023 00:00:00,1:44:32,PM,19.86,10357.76
07/01/2023 00:00:00,2:44:32,PM,20.33,7050.24
07/01/2023 00:00:00,3:44:32,PM,18.79,717.76
07/01/2023 00:00:00,4:44:32,PM,19.05,579.20
07/01/2023 00:00:00,5:44:32,PM,19.22,470.08
07/01/2023 00:00:00,6:44:32,PM,19.52,1037.76
07/01/2023 00:00:00,7:44:32,PM,19.39,359.68
07/01/2023 00:00:00,8:44:32,PM,19.17,162.16
07/01/2023 00:00:00,9:44:32,PM,18.70,1.87
07/01/2023 00:00:00,10:44:32,PM,18.27,0.00
07/01/2023 00:00:00,11:44:32,PM,17.84,0.00
07/02/2023 00:00:00,12:44:32,AM,17.54,0.00
07/02/2023 00:00:00,1:44:32,AM,17.16,0.00
07/02/2023 00:00:00,2:44:32,AM,16.90,0.00
07/02/2023 00:00:00,3:44:32,AM,16.69,0.00
07/02/2023 00:00:00,4:44:32,AM,16.43,0.00
07/02/2023 00:00:00,5:44:32,AM,16.17,127.12
07/02/2023 00:00:00,6:44:32,AM,16.04,402.24
07/02/2023 00:00:00,7:44:32,AM,15.96,760.64
07/02/2023 00:00:00,8:44:32,AM,15.96,939.52
07/02/2023 00:00:00,9:44:32,AM,16.34,3420.16
07/02/2023 00:00:00,10:44:32,AM,17.46,6417.92
07/02/2023 00:00:00,11:44:32,AM,18.44,10521.60
07/02/2023 00:00:00,12:44:32,PM,19.43,14668.80
07/02/2023 00:00:00,1:44:32,PM,20.03,29091.84
07/02/2023 00:00:00,2:44:32,PM,20.12,14264.32
07/02/2023 00:00:00,3:44:32,PM,18.36,755.52
07/02/2023 00:00:00,4:44:32,PM,18.62,614.88
07/02/2023 00:00:00,5:44:32,PM,19.00,465.92
07/02/2023 00:00:00,6:44:32,PM,19.17,397.12
07/02/2023 00:00:00,7:44:32,PM,19.26,315.36
