date,hours,time,temp_c,light_lux
06/30/2023 00:00:00,1:45:16,AM,15.53,0.00
06/30/2023 00:00:00,2:45:16,AM,15.36,0.00
06/30/2023 00:00:00,3:45:16,AM,15.14,0.00
06/30/2023 00:00:00,4:45:16,AM,15.01,0.00
06/30/2023 00:00:00,5:45:16,AM,14.84,5.00
06/30/2023 00:00:00,6:45:16,AM,14.71,22.99
06/30/2023 00:00:00,7:45:16,AM,14.75,35.61
06/30/2023 00:00:00,8:45:16,AM,14.88,68.00
06/30/2023 00:00:00,9:45:16,AM,15.18,216.72
06/30/2023 00:00:00,10:45:16,AM,15.40,181.44
06/30/2023 00:00:00,11:45:16,AM,16.34,1582.72
06/30/2023 00:00:00,12:45:16,PM,17.03,544.00
06/30/2023 00:00:00,1:45:16,PM,17.97,800.32
06/30/2023 00:00:00,2:45:16,PM,18.70,565.60
06/30/2023 00:00:00,3:45:16,PM,19.22,264.48
06/30/2023 00:00:00,4:45:16,PM,19.05,68.82
06/30/2023 00:00:00,5:45:16,PM,18.53,41.50
06/30/2023 00:00:00,6:45:16,PM,17.72,33.11
06/30/2023 00:00:00,7:45:16,PM,16.99,16.94
06/30/2023 00:00:00,8:45:16,PM,16.60,6.04
06/30/2023 00:00:00,9:45:16,PM,16.81,0.00
06/30/2023 00:00:00,10:45:16,PM,16.47,0.00
06/30/2023 00:00:00,11:45:16,PM,16.34,0.00
07/01/2023 00:00:00,12:45:16,AM,15.53,0.00
07/01/2023 00:00:00,1:45:16,AM,15.31,0.00
07/01/2023 00:00:00,2:45:16,AM,15.06,0.00
07/01/2023 00:00:00,3:45:16,AM,14.75,0.00
07/01/2023 00:00:00,4:45:16,AM,14.54,0.00
07/01/2023 00:00:00,5:45:16,AM,14.24,4.58
07/01/2023 00:00:00,6:45:16,AM,14.11,15.25
07/01/2023 00:00:00,7:45:16,AM,14.03,30.61
07/01/2023 00:00:00,8:45:16,AM,14.28,54.90
07/01/2023 00:00:00,9:45:16,AM,14.54,121.60
07/01/2023 00:00:00,10:45:16,AM,15.06,325.76
07/01/2023 00:00:00,11:45:16,AM,15.91,3306.24
07/01/2023 00:00:00,12:45:16,PM,16.69,2346.24
07/01/2023 00:00:00,1:45:16,PM,17.41,962.88
07/01/2023 00:00:00,2:45:16,PM,18.19,354.88
07/01/2023 00:00:00,3:45:16,PM,18.53,119.28
